"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","CD","CLOC","DLOC","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NLA","NLM","NM","NOS","TLLOC","TLOC","TNA","TNLA","TNLM","TNM","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Basic Rules","Class Rules","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Exception Rules","Format Rules","Import Rules","Inheritance Metric Rules","Logging Rules","Miscellaneous Rules","Newstyle Rules","Python3 Rules","Size Metric Rules","Spelling Rules","Stdlib Rules","String Constant Rules","String Rules","Typecheck Rules","Variable Rules"
"L393","NotificationService","ceilometer.notification.NotificationService~Cl","L388","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\notification.py","52","1","114","47","0","0","0","0","0","0","0","0","2","1","1","8","0","0","0","0","3","0.134615","7","0","0.134615","7","0","0","0","0","0","45","63","1","1","3","3","28","45","63","1","1","3","3","28","0","0","9","6","3","5","3","0","1","0","0","0","8","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L431","Client","ceilometer.nova_client.Client~Cl","L421","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\nova_client.py","48","1","145","51","0","0","0","0","0","0","0","0","4","2","2","19","0","0","0","0","7","0.0568182","5","5","0.0568182","5","0","0","0","0","0","83","98","0","0","7","7","45","83","98","0","0","7","7","45","0","0","15","0","3","3","0","0","1","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L468","PipelineException","ceilometer.pipeline.PipelineException~Cl","L463","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\pipeline.py","46","1","52","64","0","0","0","0","0","0","0","0","2","0","0","2","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","6","7","0","0","2","2","3","6","7","0","0","2","2","3","0","0","7","1","1","1","1","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L478","PublishContext","ceilometer.pipeline.PublishContext~Cl","L463","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\pipeline.py","55","1","74","33","0","0","0","0","0","0","0","0","4","1","1","6","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","16","20","0","0","5","4","9","16","20","0","0","5","5","9","0","0","13","0","7","6","0","0","1","0","0","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L498","Source","ceilometer.pipeline.Source~Cl","L463","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\pipeline.py","77","1","181","29","0","0","0","0","0","0","0","0","4","2","2","24","1","1","1","0","6","0.234694","23","15","0.234694","23","0","0","0","0","0","75","105","0","0","6","6","42","75","105","0","0","6","6","42","0","0","9","1","5","4","0","0","1","0","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L521","Sink","ceilometer.pipeline.Sink~Cl","L463","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\pipeline.py","184","1","329","34","0","0","0","0","0","0","0","0","3","3","3","28","1","1","0","0","7","0.262411","37","35","0.262411","37","0","0","0","0","0","104","146","0","0","7","7","53","104","146","0","0","7","7","53","0","0","13","8","6","7","0","0","1","0","0","0","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"L558","Pipeline","ceilometer.pipeline.Pipeline~Cl","L463","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\pipeline.py","332","1","370","29","0","0","0","0","0","0","0","0","9","0","0","11","0","1","0","0","10","0.0344828","1","1","0.0344828","1","0","0","0","0","0","28","39","0","0","10","10","13","28","39","0","0","10","10","13","0","0","23","0","8","8","0","0","1","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L592","PipelineManager","ceilometer.pipeline.PipelineManager~Cl","L463","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\pipeline.py","373","1","506","54","0","0","0","0","0","0","0","0","2","3","3","9","5","0","0","1","3","0.463519","108","108","0.463519","108","0","0","0","0","0","125","134","0","0","2","2","17","125","134","0","0","2","2","17","0","0","2","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"L616","PluginBase","ceilometer.plugin.PluginBase~Cl","L610","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\plugin.py","38","1","39","37","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0.5","1","1","0.5","1","0","0","2","2","0","1","2","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L619","NotificationBase","ceilometer.plugin.NotificationBase~Cl","L610","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\plugin.py","42","1","124","60","0","0","0","0","0","0","0","0","7","2","2","10","1","0","0","0","7","0.366972","40","37","0.366972","40","1","1","0","0","1","69","83","0","0","7","7","15","69","83","0","0","7","7","15","0","1","4","5","2","3","0","0","1","0","0","1","2","0","0","0","0","0","2","0","0","1","0","0","0","0","1","1"
"L657","PollsterBase","ceilometer.plugin.PollsterBase~Cl","L610","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\plugin.py","127","1","144","591","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0.448276","13","13","0.448276","13","1","1","0","0","1","16","18","0","0","1","1","0","16","18","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L668","DiscoveryBase","ceilometer.plugin.DiscoveryBase~Cl","L610","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\plugin.py","147","1","172","23","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2","0.418605","18","18","0.418605","18","0","0","0","0","0","25","26","0","0","2","2","1","25","26","0","0","2","2","1","0","0","1","0","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L684","Sample","ceilometer.sample.Sample~Cl","L679","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\sample.py","57","1","92","33","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","0","3","0.3125","15","0","0.3125","15","0","0","0","0","0","33","36","0","0","3","3","16","33","36","0","0","3","3","16","0","0","9","2","7","4","0","0","1","0","0","3","6","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2"
"L723","WorkerException","ceilometer.service.WorkerException~Cl","L717","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\service.py","96","1","97","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","1","1","0.5","1","0","0","0","0","0","1","2","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L779","HashRing","ceilometer.utils.HashRing~Cl","L732","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\ceilometer\utils.py","188","1","215","49","0","0","0","0","0","0","0","0","1","2","2","8","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","23","28","0","0","4","4","16","23","28","0","0","4","4","16","0","0","10","0","6","5","0","0","0","0","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9517","TestNovaNotifier","nova_tests.test_notifier.TestNovaNotifier~Cl","L9511","L103","D:\Users\AdEeL\Desktop\Practicum\Code Analysis\SourceMeter-8.2.0-x64-windows\Python\Demo\ceilometer\nova_tests\test_notifier.py","63","1","307","55","0","0","0","0","0","0","0","0","12","2","2","16","0","0","0","0","12","0.120603","24","0","0.107623","24","0","0","0","0","0","175","220","0","0","12","12","56","199","245","2","2","13","13","59","0","11","32","16","29","21","3","0","1","0","0","2","28","0","7","0","0","0","0","2","0","3","0","0","0","0","9","12"
